Date,000001.SS,HSI,^AORD,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^IXIC,^JKSE,^KS11,^MERV,^N225,^NSEI,^STI,^TWII
2024-12-27,3400.14208984375,,8520.099609375,78699.0703125,120269.0,42992.2109375,7355.3701171875,8149.7998046875,19984.3203125,5970.83984375,19722.029296875,7036.57080078125,2404.77001953125,2577546.0,40281.16015625,23813.400390625,3771.6298828125,23275.6796875
2024-12-30,3407.325927734375,,8496.0,78248.1328125,120283.0,42573.73046875,7313.56005859375,8121.0,19909.140625,5906.93994140625,19486.7890625,7079.90478515625,2399.489990234375,2533635.0,39894.5390625,23644.900390625,3795.72998046875,23190.19921875
2024-12-31,3351.762939453125,,8420.5,78139.0078125,,42544.21875,7380.740234375,8173.0,,5881.6298828125,19310.7890625,,,,,23644.80078125,3787.60009765625,23035.099609375
2025-01-01,,,,78507.40625,,,,,,,,,,,,23742.900390625,,
2025-01-02,3262.56103515625,,8465.0,79943.7109375,120125.0,42392.26953125,7393.759765625,8260.099609375,20024.66015625,5868.5498046875,19280.7890625,7163.205078125,2398.93994140625,2695646.0,,24188.650390625,3800.81005859375,22832.060546875
2025-01-03,3211.429931640625,,8511.900390625,79223.109375,118533.0,42732.12890625,7282.22021484375,8224.0,19906.080078125,5942.47021484375,19621.6796875,7164.42919921875,2441.919921875,2728911.0,,24004.75,3801.830078125,22908.30078125
2025-01-06,3206.923095703125,,8545.7001953125,77964.9921875,120022.0,42706.55859375,7445.68994140625,8249.7001953125,20216.189453125,5975.3798828125,19864.98046875,7080.47412109375,2488.639892578125,2801221.0,39307.05078125,23616.05078125,3821.840087890625,23547.7109375
2025-01-07,3229.64404296875,,8542.900390625,78199.109375,121163.0,42528.359375,7489.35009765625,8245.2998046875,20340.5703125,5909.02978515625,19489.6796875,7083.2841796875,2492.10009765625,2822175.0,40083.30078125,23707.900390625,3828.169921875,23651.26953125
2025-01-08,3230.16796875,,8599.400390625,78148.4921875,119625.0,42635.19921875,7452.419921875,8251.0,20329.939453125,5918.25,19478.880859375,7080.35205078125,2521.050048828125,2782477.0,39981.05859375,23688.94921875,3886.97998046875,23407.330078125
2025-01-09,3211.39306640625,,8577.7998046875,77620.2109375,119781.0,,7490.27978515625,8319.7001953125,20317.099609375,,,7064.587890625,2521.89990234375,2829730.0,39605.08984375,23526.5,3862.60009765625,23081.130859375
2025-01-10,3168.52392578125,,8543.7001953125,77378.90625,118856.0,41938.44921875,7431.0400390625,8248.5,20214.7890625,5827.0400390625,19161.630859375,7088.8662109375,2515.780029296875,2805140.0,39190.3984375,23431.5,3801.56005859375,23011.859375
2025-01-13,3160.7548828125,,8431.900390625,76330.0078125,119007.0,42297.12109375,7408.64013671875,8224.2001953125,20132.849609375,5836.22021484375,19088.099609375,7016.87890625,2489.56005859375,2655179.0,,23085.94921875,3791.699951171875,22488.330078125
2025-01-14,3240.93994140625,,8471.7998046875,76499.6328125,119299.0,42518.28125,7423.669921875,8201.5,20271.330078125,5842.91015625,19044.390625,6956.6650390625,2497.39990234375,2733273.0,38474.30078125,23176.05078125,3788.77001953125,22797.51953125
2025-01-15,3227.116943359375,,8456.7998046875,76724.078125,122650.0,43221.55078125,7474.58984375,8301.099609375,20574.6796875,5949.91015625,19511.23046875,7079.56201171875,2496.81005859375,2704474.0,38444.578125,23213.19921875,3772.580078125,22514.5703125
2025-01-16,3236.031982421875,,8569.099609375,77042.8203125,121234.0,43153.12890625,7634.740234375,8391.900390625,20655.390625,5937.33984375,19338.2890625,7107.51904296875,2527.489990234375,2629377.0,38572.6015625,23311.80078125,3801.1298828125,23025.099609375
2025-01-17,3241.821044921875,,8557.400390625,76619.328125,122350.0,43487.828125,7709.75,8505.2001953125,20903.390625,5996.66015625,19630.19921875,7154.658203125,2523.550048828125,2510886.0,38451.4609375,23203.19921875,3810.780029296875,23148.080078125
2025-01-20,3244.3779296875,,8594.400390625,77073.4375,122543.0,,7733.5,8520.5,20990.310546875,,,7170.73681640625,2520.050048828125,2536837.0,38902.5,23344.75,3807.969970703125,23266.8203125
2025-01-21,3242.623046875,,8652.7001953125,75838.359375,123338.0,44025.80859375,7770.9501953125,8548.2998046875,21042.0,6049.240234375,19756.779296875,7181.81982421875,2518.030029296875,2619719.0,39027.98046875,23024.650390625,3795.3701171875,23300.009765625
2025-01-22,3213.6240234375,,8680.5,76404.9921875,122972.0,44156.73046875,7837.39990234375,8545.099609375,21254.26953125,6086.3701171875,20009.33984375,7257.1279296875,2547.06005859375,2680946.0,39646.25,23155.349609375,3781.2099609375,23525.41015625
2025-01-23,3230.1640625,,8629.099609375,76520.3828125,122483.0,44565.0703125,7892.60986328125,8565.2001953125,21411.529296875,6118.7099609375,20053.6796875,7232.64306640625,2515.489990234375,2625050.0,39958.87109375,23205.349609375,3806.570068359375,
2025-01-24,3252.6259765625,,8660.400390625,76190.4609375,122447.0,44424.25,7927.6201171875,8502.400390625,21394.9296875,6101.240234375,19954.30078125,7166.05615234375,2536.800048828125,2566082.0,39931.98046875,23092.19921875,3804.260009765625,
2025-01-27,3250.60107421875,,,75366.171875,124862.0,44713.578125,7906.580078125,8503.7001953125,21282.1796875,6012.27978515625,19341.830078125,,,2439099.0,39565.80078125,22829.150390625,3796.7099609375,
